Price,Emission Class_Euro 6,Registration_Year,Mileage(miles),Previous Owners,Emission Class_Euro 4
4450,False,2005,100000,,True
2900,False,2007,104499,5.0,True
4500,True,2015,74010,2.0,False
4000,False,2013,114401,4.0,False
2995,False,2012,98000,,False
16997,True,2019,60000,,False
1789,False,2010,93000,,True
798,False,2008,140599,,True
19800,True,2019,69690,1.0,False
6900,True,2016,70189,3.0,False
4895,False,2012,66000,2.0,False
975,False,2003,97505,4.0,True
4495,False,2012,100000,4.0,False
1499,False,2005,99999,2.0,True
2495,False,2009,99000,2.0,True
3985,True,2015,95601,,False
2500,False,2006,149000,2.0,True
4599,False,2009,70000,2.0,False
1189,False,2004,135000,,True
2950,False,2011,79000,4.0,False
6900,True,2016,70189,3.0,False
9600,True,2016,56984,4.0,False
2500,False,2003,138910,9.0,False
2495,False,2005,55000,,True
5000,True,2005,99350,1.0,False
2495,False,2012,118000,3.0,False
2490,False,2003,56000,,True
3650,False,2012,78000,2.0,False
2495,False,2009,132000,5.0,True
2495,False,2010,98000,,False
3950,False,2009,98000,4.0,False
2700,False,2005,105713,6.0,False
2950,False,2011,105000,,False
9600,True,2016,56984,4.0,False
9149,True,2016,55301,,False
7500,False,2012,73000,,False
1595,False,2001,93610,2.0,True
3999,False,2009,128000,3.0,True
5499,True,2016,32000,1.0,False
1495,False,2007,110000,3.0,True
3495,False,2011,104000,4.0,False
2495,False,2009,113000,,True
3690,False,2011,84000,5.0,False
1495,False,2008,109000,,True
2495,False,2009,69400,2.0,True
2799,False,2011,99061,,False
19800,True,2019,69690,1.0,False
15900,True,2019,62402,1.0,False
2995,False,2006,115000,,True
4999,True,2015,54600,,False
1850,False,2004,73424,2.0,True
3295,False,2010,109000,,False
4000,False,2010,44591,2.0,True
1993,False,2009,94200,3.0,False
2795,False,2011,100000,5.0,False
4195,False,2011,79000,5.0,False
2495,False,2007,94350,4.0,True
2495,False,2005,63000,2.0,False
1299,False,2008,87000,5.0,True
15900,True,2019,62402,1.0,False
10698,True,2020,22782,,False
2995,False,2012,80000,,False
2150,False,2008,72000,3.0,True
1995,False,2007,108000,2.0,True
3495,False,2012,49796,,False
2090,False,2010,86255,3.0,False
1995,False,2007,113000,2.0,True
1500,False,2007,162085,3.0,True
4495,False,2013,65550,2.0,False
2920,False,2009,130422,4.0,True
2490,False,2008,44584,5.0,True
2799,False,2011,99061,,False
10698,True,2020,22782,,False
10198,True,2016,50028,,False
2490,False,2006,107800,5.0,True
3500,False,2007,100000,,True
2000,False,2009,66814,6.0,True
4950,False,2008,112000,,True
6450,False,2012,89518,3.0,False
4990,False,2014,96755,,False
2255,False,2006,165000,5.0,True
2250,False,2010,111000,3.0,False
2890,False,2007,109000,2.0,True
1850,False,2003,97000,2.0,False
3495,True,2015,127000,,False
10198,True,2016,50028,,False
15900,True,2019,62402,1.0,False
1490,False,2006,85556,3.0,True
9990,True,2016,105000,1.0,False
5495,False,2009,65694,2.0,True
4750,False,2013,67653,3.0,False
2494,False,2007,87000,,True
1995,False,2008,96000,3.0,True
6050,False,2014,61000,,False
3250,False,2009,85000,3.0,True
4440,False,2006,90000,4.0,True
1950,False,2004,85000,3.0,False
2950,False,2011,79000,4.0,False
15900,True,2019,62402,1.0,False
8975,True,2017,86500,,False
2000,False,2007,64000,3.0,True
1999,False,2007,88000,5.0,True
2495,False,2001,101232,,False
4495,False,2015,71000,3.0,False
1799,False,2007,69200,4.0,True
3999,False,2013,42000,3.0,False
3480,False,2007,65279,3.0,True
1949,False,2010,45000,,True
2390,False,2003,80000,4.0,False
1990,False,2007,83000,7.0,True
2950,False,2011,105000,,False
8975,True,2017,86500,,False
9198,True,2018,78691,,False
5000,True,2015,135600,3.0,False
4399,False,2014,99000,,False
2500,False,2008,71000,,True
3290,False,2011,43000,1.0,False
5449,True,2013,100000,,False
3250,False,2009,52000,5.0,False
2500,False,2011,94500,5.0,False
2250,False,2008,132000,2.0,True
2477,False,2010,74000,,False
5498,False,2014,58000,4.0,False
2950,False,2011,105000,,False
9198,True,2018,78691,,False
9149,True,2016,55301,,False
4695,False,2015,90000,2.0,False
1695,False,2007,100000,,True
3299,False,2015,124000,2.0,False
1599,False,2003,92000,6.0,True
2490,False,2006,103200,4.0,True
3900,False,2012,37000,,False
5999,True,2017,63000,,False
7990,False,2015,58776,,False
3841,False,2009,75349,2.0,True
5495,True,2016,96229,2.0,False
2950,False,2011,79000,4.0,False
9149,True,2016,55301,,False
9149,True,2016,55301,,False
5995,True,2016,103000,4.0,False
3395,False,2008,125000,3.0,True
1500,False,2006,92415,1.0,True
5890,True,2016,67550,2.0,False
2289,False,2008,47500,,True
2390,False,2006,62000,2.0,True
1895,False,2007,77627,5.0,True
1995,False,2009,93000,,True
5995,False,2008,84000,,True
3000,False,2010,184000,1.0,True
2950,False,2011,105000,,False
9600,True,2016,56984,4.0,False
9600,True,2016,56984,4.0,False
4995,False,2008,70000,,True
1950,False,2013,73200,3.0,False
7495,False,2013,45000,2.0,False
1950,False,2003,143000,,False
1789,False,2005,100000,,False
3499,False,2010,107288,2.0,False
1890,False,2010,99000,5.0,True
7999,True,2015,58000,2.0,False
4050,False,2004,44283,1.0,False
3989,False,2004,75890,5.0,False
1299,False,2008,87000,5.0,True
10000,True,2017,46923,3.0,False
19800,True,2019,69690,1.0,False
1990,False,2008,73839,2.0,True
6295,False,2014,88000,,False
15900,True,2019,62402,1.0,False
2495,False,2008,93000,3.0,True
1680,False,2004,134000,,True
2749,False,2011,56000,,False
2789,False,2006,97000,,True
2995,False,2009,28000,,True
3990,False,2011,95810,3.0,False
3499,False,2014,92000,,False
1750,False,2010,130000,4.0,True
19800,True,2019,69690,1.0,False
15900,True,2019,62402,1.0,False
5000,False,2015,60000,1.0,False
2495,False,2009,87000,2.0,False
2195,False,2009,138000,,True
4495,False,2013,100000,2.0,False
1450,False,2003,95232,2.0,True
4450,False,2011,89600,2.0,False
1800,False,2004,145000,5.0,True
2000,False,2007,85000,6.0,True
2950,False,2008,87424,3.0,True
3995,False,2005,84000,4.0,True
2495,False,2010,149000,1.0,False
6900,True,2016,70189,3.0,False
9600,True,2016,56984,4.0,False
5495,False,2008,88291,3.0,False
6249,False,2008,64800,,True
6000,False,2008,112400,,True
2500,False,2009,138000,3.0,True
3250,False,2010,110658,5.0,True
4495,False,2014,61000,5.0,False
14995,False,2013,58500,,False
1599,False,2004,115000,5.0,True
2299,False,2004,95861,,False
1689,False,2006,93000,,True
3495,True,2015,127000,,False
8975,True,2017,86500,,False
9600,True,2016,56984,4.0,False
1795,False,2007,96466,8.0,True
1599,False,2010,77182,3.0,False
3450,False,2012,71977,2.0,False
2395,False,2009,93000,,True
6400,False,2013,64000,3.0,False
1150,False,2002,98900,3.0,False
2250,False,2008,97000,4.0,True
2450,False,2006,42500,2.0,True
2999,False,2010,109000,4.0,False
3950,False,2015,56800,4.0,False
1750,False,2010,130000,4.0,True
9600,True,2016,56984,4.0,False
15900,True,2019,62402,1.0,False
4895,False,2012,91000,,False
3990,False,2013,115600,3.0,False
3699,False,2011,108000,,False
12725,True,2016,95969,,False
2495,False,2008,133000,,True
1500,False,2005,109000,2.0,True
2620,False,2010,78497,4.0,True
2495,False,2011,147000,4.0,False
3500,False,2007,42460,2.0,True
3895,False,2010,67000,2.0,True
3495,True,2015,127000,,False
10198,True,2016,50028,,False
9198,True,2018,78691,,False
2490,False,2002,80000,2.0,False
2094,False,2008,83000,3.0,True
5940,False,2010,85000,2.0,False
6500,False,2012,99000,,False
2999,False,2014,149000,,False
4999,False,2014,65153,4.0,False
1899,False,2001,94000,,True
3000,False,2013,110000,1.0,False
4299,False,2012,60000,2.0,False
1495,False,2005,119000,,True
2799,False,2011,99061,,False
10698,True,2020,22782,,False
6900,True,2016,70189,3.0,False
3950,False,2006,75000,,True
8050,False,2011,97850,5.0,False
2495,False,2007,90000,3.0,True
2259,False,2009,149490,2.0,False
1895,False,2008,129644,3.0,True
3000,False,2010,175112,,False
5990,True,2015,124700,2.0,False
2495,False,2010,107000,,False
3295,False,2010,97000,4.0,False
1895,False,2006,55897,,True
2950,False,2011,105000,,False
9600,True,2016,56984,4.0,False
10198,True,2016,50028,,False
3895,False,2010,89000,3.0,True
4495,False,2011,114000,3.0,False
5990,False,2012,40000,2.0,False
3689,False,2009,45000,,True
3500,False,2006,86000,,True
2900,False,2011,63084,,False
1995,False,2007,73863,,True
1650,False,1990,49309,4.0,False
6699,False,2014,55000,2.0,False
2495,False,2007,114000,,True
2950,False,2011,105000,,False
10198,True,2016,50028,,False
9600,True,2016,56984,4.0,False
2200,False,2006,93505,3.0,True
1495,False,2003,84349,5.0,False
2499,False,2012,102000,,False
4594,False,2012,91652,4.0,False
4389,False,2010,46300,,True
2299,False,2008,97000,,True
2950,False,2004,95000,,False
3295,False,2012,69991,2.0,False
4000,False,2010,111000,4.0,True
4500,False,2008,95000,,True
2950,False,2011,105000,,False
9600,True,2016,56984,4.0,False
8975,True,2017,86500,,False
2495,False,2008,64000,,True
2495,False,2011,153000,4.0,False
2495,False,2013,83000,2.0,False
4950,False,2006,103000,,False
3195,False,2005,113000,,True
5825,False,2014,67129,,False
1250,False,2004,143000,,False
2700,False,2012,117000,2.0,False
3400,False,2011,68100,3.0,False
2490,False,2009,38000,2.0,False
798,False,2008,140599,,True
6900,True,2016,70189,3.0,False
6900,True,2016,70189,3.0,False
4450,False,2011,49000,,False
1495,False,2002,61000,1.0,True
4200,False,2007,68060,1.0,False
2495,False,2005,122000,,True
2250,False,2002,63000,4.0,False
3750,False,2011,49000,3.0,True
1889,False,2003,152000,7.0,False
2499,False,2008,110000,2.0,True
1795,False,2008,73900,,True
4950,False,2013,51600,3.0,False
999,False,2007,111400,2.0,True
6900,True,2016,70189,3.0,False
6900,True,2016,70189,3.0,False
5899,False,2012,100000,2.0,False
1995,False,2009,94000,4.0,False
2745,False,2006,106100,,True
1795,False,2008,99000,2.0,True
2490,False,2007,86000,5.0,True
3349,False,2010,96100,5.0,True
1800,False,2008,110000,,True
3450,True,2016,99818,1.0,False
3199,False,2012,87000,3.0,False
8900,False,2001,58900,,False
2495,False,2010,149000,1.0,False
6900,True,2016,70189,3.0,False
10698,True,2020,22782,,False
3495,False,2008,96000,,True
3995,False,2012,112300,,False
2449,False,2013,96400,,False
5900,False,2011,105000,,False
2950,False,2003,139000,,False
3030,False,2009,138000,3.0,False
1490,False,2007,87500,4.0,True
7500,False,2013,100400,3.0,False
4480,False,2014,65000,3.0,False
1949,False,2005,140000,,False
2950,False,2011,79000,4.0,False
9149,True,2016,55301,,False
6900,True,2016,70189,3.0,False
1889,False,2003,88000,,False
3995,False,2010,134800,1.0,False
5490,False,2013,102000,3.0,False
2495,False,2008,95000,,True
2295,False,2004,121000,8.0,True
3799,False,2010,61000,,True
2950,False,2010,66300,3.0,True
6995,False,2012,65000,,False
3750,False,2012,92000,1.0,False
5000,False,2010,64000,4.0,True
1950,False,2012,93000,4.0,False
6900,True,2016,70189,3.0,False
9600,True,2016,56984,4.0,False
4495,False,2012,97155,1.0,False
4399,False,2015,91804,2.0,False
16990,True,2019,18137,,False
3940,False,2014,75000,1.0,False
2389,False,1990,125000,,False
3949,False,2010,87000,3.0,False
3950,False,2005,153000,3.0,True
2500,False,2007,113000,5.0,True
3940,False,2011,77241,3.0,False
1800,False,2009,52000,4.0,True
2495,False,2010,149000,1.0,False
9600,True,2016,56984,4.0,False
9198,True,2018,78691,,False
3495,False,2011,100667,,False
4599,False,2012,97000,,False
4595,False,2014,82364,2.0,False
1575,False,2007,127000,3.0,True
3990,False,2012,93000,,False
2490,False,2008,101200,2.0,True
2389,False,2007,115000,,True
4289,False,2015,112000,,False
3300,False,2014,94650,,False
1950,False,2012,93000,4.0,False
19800,True,2019,69690,1.0,False
10698,True,2020,22782,,False
4995,False,2010,80750,7.0,False
2800,False,2011,77000,3.0,False
7150,False,2015,41000,,False
2199,False,2012,69200,5.0,False
1995,False,2006,89400,2.0,True
1949,False,2002,105000,2.0,True
5250,False,2010,137000,,False
3495,False,2008,103000,2.0,True
2500,False,2010,134503,2.0,False
2395,False,2011,66200,4.0,False
3495,True,2015,127000,,False
15900,True,2019,62402,1.0,False
8975,True,2017,86500,,False
2995,False,2005,97000,,True
6580,False,2014,110000,5.0,False
